"Time","Level_mm","Battery_vott","AccumulatedRainfall_mm","Rainfall_mm"
2018-05-29 16:11:30,0.3768547079,12.6809,240.284,0
2018-05-29 17:19:34,0.3768547079,12.62226,240.284,0
2018-05-29 17:41:18,0.3768547079,12.63692,240.284,0
2018-05-29 18:12:57,0.3768547079,12.59294,240.538,0.254
2018-05-29 19:22:35,0.3837066117,12.51964,240.538,0
2018-05-29 19:41:23,0.3871325636,12.50498,240.538,0
2018-05-29 20:11:21,0.3871325636,12.49032,240.538,0
2018-05-29 21:28:37,0.3871325636,12.461,240.538,0
2018-05-29 21:43:40,0.3905585155,12.43168,240.538,0
2018-05-29 22:11:18,0.3871325636,12.43168,240.538,0
2018-05-29 23:41:19,0.3734287561,12.40236,240.538,0
2018-05-30 00:11:16,0.3700028042,12.40236,240.538,0
2018-05-30 00:48:28,0.3665768523,12.40236,240.538,0
2018-05-30 01:12:49,0.3665768523,12.40236,240.538,0
2018-05-30 01:41:20,0.3562989966,12.40236,240.538,0
2018-05-30 02:51:25,0.3562989966,12.3877,241.3,0.762
2018-05-30 03:11:15,0.3562989966,12.3877,241.554,0.254
2018-05-30 03:43:56,0.3562989966,12.3877,241.554,0
2018-05-30 05:11:36,0.3597249485,12.35838,241.554,0
2018-05-30 05:41:19,0.3597249485,12.37304,241.554,0
2018-05-30 07:15:01,0.3734287561,12.44634,244.094,2.54
2018-05-30 07:41:56,0.3734287561,12.47566,244.094,0
2018-05-30 08:11:49,0.3734287561,12.65158,244.094,0
2018-05-30 09:11:51,0.3837066117,12.71022,244.094,0
2018-05-30 09:41:13,0.3802806598,12.7542,244.094,0
2018-05-30 10:14:04,0.3837066117,12.85682,244.094,0
2018-05-30 11:15:25,0.3837066117,12.84216,244.094,0
2018-05-30 11:41:10,0.3871325636,13.01808,244.094,0
2018-05-30 12:11:10,0.3871325636,12.95944,244.094,0
2018-05-30 12:58:43,0.3871325636,12.94478,244.094,0
2018-05-30 13:14:42,0.3837066117,13.03274,244.094,0
2018-05-30 13:41:13,0.3837066117,12.95944,244.094,0
2018-05-30 15:11:23,0.3871325636,12.93012,244.094,0
2018-05-30 15:41:12,0.3905585155,13.25264,244.094,0
2018-05-30 17:13:46,0.3905585155,12.76886,244.094,0
2018-05-30 17:41:18,0.3905585155,12.78352,244.094,0
2018-05-30 18:11:29,0.3939844674,12.73954,244.094,0
2018-05-30 19:18:13,0.4008363712,12.66624,244.094,0
2018-05-30 19:42:19,0.4042623231,12.65158,244.094,0
2018-05-30 20:11:22,0.4042623231,12.65158,244.094,0
2018-05-30 21:22:15,0.407688275,12.62226,244.094,0
2018-05-30 21:41:15,0.407688275,12.62226,244.094,0
2018-05-30 22:13:34,0.407688275,12.62226,244.094,0
2018-05-30 23:42:44,0.3939844674,12.57828,244.094,0
